reference,plan,name,document-url,documentation-url,document-types
doncaster-local-plan-15,doncaster-local-plan,Habitats Regulation Assessment Addendum,https://dmbcwebstolive01.blob.core.windows.net:443/media/Default/Planning/Documents/Local%20Plan/Submission/Modifications/Habitats%20Regulation%20Assessment%20Addendum.pdf,https://www.doncaster.gov.uk/services/planning/local-plan,viability-assessment
rochdale-local-plan-2006-1,rochdale-local-plan-2006,Statement of decisions May 2006PDF331kBDownload,https://www.rochdale.gov.uk/downloads/file/289/statement-of-decisions-may-2006,https://www.rochdale.gov.uk/downloads/download/195/statement-of-decisions-for-the-1996-2006-local-plan,adoption-statement
rochdale-local-plan-2006-2,rochdale-local-plan-2006,Report to cabinet on our statement of decisionsPDF205kBDownload,https://www.rochdale.gov.uk/downloads/file/288/report-to-cabinet-on-our-statement-of-decisions,https://www.rochdale.gov.uk/downloads/download/195/statement-of-decisions-for-the-1996-2006-local-plan,adoption-statement
rochdale-local-plan-2006-3,rochdale-local-plan-2006,Adoption notice for statement of decisionsPDF75kBDownload,https://www.rochdale.gov.uk/downloads/file/287/adoption-notice-for-statement-of-decisions,https://www.rochdale.gov.uk/downloads/download/195/statement-of-decisions-for-the-1996-2006-local-plan,adoption-statement
crawley-2030-review-1,crawley-2030-review,Supplementary planning documents (SPD),https://crawley.gov.uk/planning/planning-policy/local-plan/supplementary-planning-documents-spd,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,supplementary-planning-documents
crawley-2030-review-2,crawley-2030-review,"Local Plan adoption statement October 2024 (PDF, 61.57 KB)",https://crawley.gov.uk/sites/default/files/2024-10/Local%20Plan%20adoption%20statement%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
crawley-2030-review-3,crawley-2030-review,"Crawley borough Local Plan 2023 to 2040 (PDF, 10.83 MB)",https://crawley.gov.uk/sites/default/files/2024-11/Crawley%20borough%20Local%20Plan%202023%20to%202040.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
crawley-2030-review-4,crawley-2030-review,"Local Plan map October 2024 (PDF, 13.51 MB)",https://crawley.gov.uk/sites/default/files/2024-10/Local%20Plan%20map%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
crawley-2030-review-5,crawley-2030-review,"Strategic environmental assessment post-adoption statement November 2024 (PDF, 862.62 KB)",https://crawley.gov.uk/sites/default/files/2024-11/Strategic%20environmental%20assessment%20post-adoption%20statement%20November%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,adoption-statement
crawley-2030-review-6,crawley-2030-review,"Sustainability report October 2024 (PDF, 6.6 MB)",https://crawley.gov.uk/sites/default/files/2024-10/Sustainability%20report%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,inspectors-report
crawley-2030-review-7,crawley-2030-review,"Habitats regulations assessment integrity test October 2024 (PDF, 166.6 KB)",https://crawley.gov.uk/sites/default/files/2024-10/Habitats%20regulations%20assessment%20integrity%20test%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,strategic-flood-risk-assessment
crawley-2030-review-8,crawley-2030-review,"Monitoring and implementation framework October 2024 (PDF, 320.57 KB)",https://crawley.gov.uk/sites/default/files/2024-10/Monitoring%20and%20implementation%20framework%20October%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,adoption-statement
crawley-2030-review-9,crawley-2030-review,"Crawley borough Local Plan Inspectors final report September 2024 (PDF, 1.17 MB)",https://crawley.gov.uk/sites/default/files/2024-10/Crawley%20Borough%20Local%20Plan%20Inspectors%27%20final%20report%20September%202024.pdf,https://crawley.gov.uk/planning/planning-policy/local-plan/about-local-plan,local-plan
adur-local-plan-2017-1,adur-local-plan-2017,Adur Local Plan 2017 (adopted) - Complete document,"https://www.adur-worthing.gov.uk/media/Media,159572,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
adur-local-plan-2017-2,adur-local-plan-2017,Adur Local Plan 2017 (adopted) - Part 1,"https://www.adur-worthing.gov.uk/media/Media,147013,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
adur-local-plan-2017-3,adur-local-plan-2017,Adur Local Plan 2017 (adopted) - Part 2,"https://www.adur-worthing.gov.uk/media/Media,147015,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
adur-local-plan-2017-4,adur-local-plan-2017,Adur Local Plan 2017 (adopted) - Part 3,"https://www.adur-worthing.gov.uk/media/Media,147016,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
adur-local-plan-2017-5,adur-local-plan-2017,Adur Local Plan 2017 (adopted) - Part 4,"https://www.adur-worthing.gov.uk/media/Media,147017,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
adur-local-plan-2017-6,adur-local-plan-2017,Adur Local Plan 2017 (adopted) - Appendices,"https://www.adur-worthing.gov.uk/media/Media,147018,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
adur-local-plan-2017-7,adur-local-plan-2017,Adur Policies Map 2019,"https://www.adur-worthing.gov.uk/media/Media,156286,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,policies-map
adur-local-plan-2017-8,adur-local-plan-2017,"Adur Policies Map 2019 - Inset maps 1, 2 & 3 (Shoreham, Lancing and Southwick town centres)","https://www.adur-worthing.gov.uk/media/Media,156287,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,policies-map
adur-local-plan-2017-9,adur-local-plan-2017,Adur Policies Map 2019 - Inset map 4 (Shoreham Harbour Regeneration Area),"https://www.adur-worthing.gov.uk/media/Media,156288,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,policies-map
adur-local-plan-2017-10,adur-local-plan-2017,Adur Local Plan 2017 - Adoption Statement,"https://www.adur-worthing.gov.uk/media/Media,147019,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
adur-local-plan-2017-11,adur-local-plan-2017,Adur Local Plan 2017 (adopted) - Sustainability Appraisal - Post Adoption Statement,"https://www.adur-worthing.gov.uk/media/Media,147020,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,adoption-statement
arun-local-plan-2018-1,arun-local-plan-2018,Adopted Local Plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12844.pdf&ver=12984,https://www.arun.gov.uk/adopted-local-plan/,local-plan
arun-local-plan-2018-2,arun-local-plan-2018,Local Plan Policy Map 1 (District Wide) - Update 2018 V23,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12918.pdf&ver=13058,https://www.arun.gov.uk/adopted-local-plan/,local-plan
arun-local-plan-2018-3,arun-local-plan-2018,Local Plan Policy Map 2 (Central) - Update September 2018 V1,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12919.pdf&ver=13059,https://www.arun.gov.uk/adopted-local-plan/,local-plan
